analysis_block_id,analysis_block_index,cell_id,claim_scope,endpoint_id,exact_request_payload_hash_match,low_load_quality_score,low_load_success,near_load_quality_score,near_load_success,paired_quality_delta_near_minus_low,predeclared_quality_acceptance_pass,quality_acceptance_reasons,quality_pair_id,sampling_unit,schema_version,shape,source_id,source_kind,status
do-soak-block-162869f7c2e0a07a9f5f,0,do-soak-cell-e9da998ab2c0562dfbc8,one deterministic low-load/near-load request pair,deepseek-v4-flash-0731,True,0.0,True,0.0,True,0.0,False,"[""paired_low_load_quality_failure"",""paired_near_load_quality_failure""]",do-soak-pair-5e9aa11dad482c49a6f0,quality_pair_id,digitalocean_public_soak_quality_pair_summary_v1,input32k_short,do-sixhour-completion-20260824-r1-soak-wave-0,direct_soak,complete
do-soak-block-0fc8d70d5818e8c5cf3f,1,do-soak-cell-e9da998ab2c0562dfbc8,one deterministic low-load/near-load request pair,deepseek-v4-flash-0731,True,0.0,True,0.0,True,0.0,False,"[""paired_low_load_quality_failure"",""paired_near_load_quality_failure""]",do-soak-pair-3cdac87c851757318d91,quality_pair_id,digitalocean_public_soak_quality_pair_summary_v1,input32k_short,do-sixhour-completion-20260824-r1-soak-wave-0,direct_soak,complete
do-soak-block-719ec67a20114c33459e,2,do-soak-cell-e9da998ab2c0562dfbc8,one deterministic low-load/near-load request pair,deepseek-v4-flash-0731,True,0.0,True,0.0,True,0.0,False,"[""paired_low_load_quality_failure"",""paired_near_load_quality_failure""]",do-soak-pair-74662986c9ca35597952,quality_pair_id,digitalocean_public_soak_quality_pair_summary_v1,input32k_short,do-sixhour-completion-20260824-r1-soak-wave-0,direct_soak,complete
do-soak-block-040becc30bbf837da684,3,do-soak-cell-e9da998ab2c0562dfbc8,one deterministic low-load/near-load request pair,deepseek-v4-flash-0731,True,0.0,True,0.0,True,0.0,False,"[""paired_low_load_quality_failure"",""paired_near_load_quality_failure""]",do-soak-pair-f9ecb4adb2bf88cdcc5f,quality_pair_id,digitalocean_public_soak_quality_pair_summary_v1,input32k_short,do-sixhour-completion-20260824-r1-soak-wave-0,direct_soak,complete
do-soak-block-ab5da6dbdb9e524e07f2,0,do-soak-cell-c0bbae2f27febab8fae5,one deterministic low-load/near-load request pair,minimax-m2.5,True,0.0,True,0.0,True,0.0,False,"[""paired_low_load_quality_failure"",""paired_near_load_quality_failure""]",do-soak-pair-5bf025311d9fbc8a3535,quality_pair_id,digitalocean_public_soak_quality_pair_summary_v1,input32k_short,do-sixhour-completion-20260824-r1-soak-wave-0,direct_soak,complete
do-soak-block-ada33ebbdbf310476238,1,do-soak-cell-c0bbae2f27febab8fae5,one deterministic low-load/near-load request pair,minimax-m2.5,True,0.0,True,0.0,True,0.0,False,"[""paired_low_load_quality_failure"",""paired_near_load_quality_failure""]",do-soak-pair-58aca4a6235dd97420d3,quality_pair_id,digitalocean_public_soak_quality_pair_summary_v1,input32k_short,do-sixhour-completion-20260824-r1-soak-wave-0,direct_soak,complete
do-soak-block-42435d86950fc1ea03a1,2,do-soak-cell-c0bbae2f27febab8fae5,one deterministic low-load/near-load request pair,minimax-m2.5,True,0.0,True,0.0,True,0.0,False,"[""paired_low_load_quality_failure"",""paired_near_load_quality_failure""]",do-soak-pair-21884db52dde70bfc5ee,quality_pair_id,digitalocean_public_soak_quality_pair_summary_v1,input32k_short,do-sixhour-completion-20260824-r1-soak-wave-0,direct_soak,complete
do-soak-block-f48dce4c016a72bb5de2,3,do-soak-cell-c0bbae2f27febab8fae5,one deterministic low-load/near-load request pair,minimax-m2.5,True,0.0,True,0.0,True,0.0,False,"[""paired_low_load_quality_failure"",""paired_near_load_quality_failure""]",do-soak-pair-ec8b4e739e8ab43e5b39,quality_pair_id,digitalocean_public_soak_quality_pair_summary_v1,input32k_short,do-sixhour-completion-20260824-r1-soak-wave-0,direct_soak,complete
do-soak-block-763c85a564e03007678f,0,do-soak-cell-96e61c1f6d765c7f282f,one deterministic low-load/near-load request pair,kimi-k3,True,0.0,True,0.0,True,0.0,False,"[""paired_low_load_quality_failure"",""paired_near_load_quality_failure""]",do-soak-pair-e7445f26401391d79e95,quality_pair_id,digitalocean_public_soak_quality_pair_summary_v1,input32k_short,do-sixhour-completion-20260824-r1-soak-wave-0,direct_soak,complete
do-soak-block-9e74166bd5c6dacc2d8b,1,do-soak-cell-96e61c1f6d765c7f282f,one deterministic low-load/near-load request pair,kimi-k3,True,0.0,True,0.0,True,0.0,False,"[""paired_low_load_quality_failure"",""paired_near_load_quality_failure""]",do-soak-pair-ec43e86e6ef18ba1e1c8,quality_pair_id,digitalocean_public_soak_quality_pair_summary_v1,input32k_short,do-sixhour-completion-20260824-r1-soak-wave-0,direct_soak,complete
do-soak-block-e61e734adab583cd5553,2,do-soak-cell-96e61c1f6d765c7f282f,one deterministic low-load/near-load request pair,kimi-k3,True,0.0,True,0.0,True,0.0,False,"[""paired_low_load_quality_failure"",""paired_near_load_quality_failure""]",do-soak-pair-352949ee8a8dd6b7503a,quality_pair_id,digitalocean_public_soak_quality_pair_summary_v1,input32k_short,do-sixhour-completion-20260824-r1-soak-wave-0,direct_soak,complete
do-soak-block-399e248af0e1896febd7,3,do-soak-cell-96e61c1f6d765c7f282f,one deterministic low-load/near-load request pair,kimi-k3,True,0.0,True,0.0,True,0.0,False,"[""paired_low_load_quality_failure"",""paired_near_load_quality_failure""]",do-soak-pair-c0f52c51ebfa633270ab,quality_pair_id,digitalocean_public_soak_quality_pair_summary_v1,input32k_short,do-sixhour-completion-20260824-r1-soak-wave-0,direct_soak,complete
