capability_dimension,documented_unavailable_count,endpoint_id,functional_pass_count,functional_pass_rate_ci95,functional_scored_count,functional_status,malformed_validation_2xx_count,malformed_validation_4xx_count,malformed_validation_attempt_count,malformed_validation_status,sampling_unit,transport_status,valid_probe_2xx_count,valid_probe_2xx_rate_ci95,valid_probe_attempt_count,workload
capability_smoke,0,arcee-trinity-large-thinking,0,"{""ci95_high"":0.7934506856227626,""ci95_low"":0.0,""estimate"":0.0,""n"":1}",1,failed,0,0,0,not_tested,request_id,observed_supported,1,"{""ci95_high"":1.0,""ci95_low"":0.20654931437723745,""estimate"":1.0,""n"":1}",1,capability_smoke
max_completion_tokens,0,arcee-trinity-large-thinking,0,"{""ci95_high"":0.7934506856227626,""ci95_low"":0.0,""estimate"":0.0,""n"":1}",1,failed,0,0,0,not_tested,request_id,observed_supported,1,"{""ci95_high"":1.0,""ci95_low"":0.20654931437723745,""estimate"":1.0,""n"":1}",1,output_length
max_tokens,0,arcee-trinity-large-thinking,0,"{""ci95_high"":0.5614970317550454,""ci95_low"":5.551115123125783e-17,""estimate"":0.0,""n"":3}",3,failed,1,0,1,invalid_input_accepted,request_id,observed_supported,3,"{""ci95_high"":1.0,""ci95_low"":0.4385029682449546,""estimate"":1.0,""n"":3}",3,output_length
pairwise_core,0,arcee-trinity-large-thinking,0,"{""ci95_high"":null,""ci95_low"":null,""estimate"":null,""n"":0}",0,not_scored,0,0,0,not_tested,request_id,observed_transport_degraded,0,"{""ci95_high"":0.10426999754245206,""ci95_low"":0.0,""estimate"":0.0,""n"":33}",33,parameter_interactions
parameter_interaction_extended,0,arcee-trinity-large-thinking,0,"{""ci95_high"":null,""ci95_low"":null,""estimate"":null,""n"":0}",0,not_scored,0,0,0,not_tested,request_id,observed_transport_degraded,0,"{""ci95_high"":0.35433043506668743,""ci95_low"":5.551115123125783e-17,""estimate"":0.0,""n"":7}",7,parameter_interactions
parameter_interaction_penalties,0,arcee-trinity-large-thinking,0,"{""ci95_high"":0.5614970317550454,""ci95_low"":5.551115123125783e-17,""estimate"":0.0,""n"":3}",3,failed,0,0,0,not_tested,request_id,observed_supported,3,"{""ci95_high"":0.7495416354723428,""ci95_low"":0.15821985525146975,""estimate"":0.42857142857142855,""n"":7}",7,parameter_interactions
parameter_interaction_temperature_top_p_output,0,arcee-trinity-large-thinking,2,"{""ci95_high"":0.700006684861608,""ci95_low"":0.09677141110578041,""estimate"":0.3333333333333333,""n"":6}",6,degraded,0,0,0,not_tested,request_id,observed_supported,6,"{""ci95_high"":1.0,""ci95_low"":0.6096657120978346,""estimate"":1.0,""n"":6}",6,parameter_interactions
caching_option,1,arcee-trinity-large-thinking,0,"{""ci95_high"":null,""ci95_low"":null,""estimate"":null,""n"":0}",0,not_scored,0,0,0,not_tested,request_id,documented_unavailable,0,"{""ci95_high"":null,""ci95_low"":null,""estimate"":null,""n"":0}",0,parameter_validation
seed,0,arcee-trinity-large-thinking,0,"{""ci95_high"":0.6576197724933469,""ci95_low"":0.0,""estimate"":0.0,""n"":2}",2,failed,0,0,0,not_tested,request_id,observed_supported,2,"{""ci95_high"":1.0,""ci95_low"":0.34238022750665303,""estimate"":1.0,""n"":2}",2,parameter_validation
stop,0,arcee-trinity-large-thinking,0,"{""ci95_high"":0.7934506856227626,""ci95_low"":0.0,""estimate"":0.0,""n"":1}",1,failed,0,0,0,not_tested,request_id,observed_supported,1,"{""ci95_high"":1.0,""ci95_low"":0.20654931437723745,""estimate"":1.0,""n"":1}",1,parameter_validation
temperature,0,arcee-trinity-large-thinking,0,"{""ci95_high"":0.43448246478317476,""ci95_low"":0.0,""estimate"":0.0,""n"":5}",5,failed,0,0,0,not_tested,request_id,observed_supported,5,"{""ci95_high"":0.9177810759959433,""ci95_low"":0.35893445183261935,""estimate"":0.7142857142857143,""n"":7}",7,parameter_validation
top_logprobs,0,arcee-trinity-large-thinking,0,"{""ci95_high"":0.43448246478317476,""ci95_low"":0.0,""estimate"":0.0,""n"":5}",5,failed,0,0,0,not_tested,request_id,observed_supported,5,"{""ci95_high"":0.9177810759959433,""ci95_low"":0.35893445183261935,""estimate"":0.7142857142857143,""n"":7}",7,parameter_validation
top_p,0,arcee-trinity-large-thinking,0,"{""ci95_high"":0.43448246478317476,""ci95_low"":0.0,""estimate"":0.0,""n"":5}",5,failed,0,0,0,not_tested,request_id,observed_supported,5,"{""ci95_high"":0.9177810759959433,""ci95_low"":0.35893445183261935,""estimate"":0.7142857142857143,""n"":7}",7,parameter_validation
pairwise_core,0,arcee-trinity-large-thinking,0,"{""ci95_high"":null,""ci95_low"":null,""estimate"":null,""n"":0}",0,not_scored,0,0,0,not_tested,request_id,observed_transport_degraded,0,"{""ci95_high"":0.35433043506668743,""ci95_low"":5.551115123125783e-17,""estimate"":0.0,""n"":7}",7,structured_output
parallel_tool_calls,0,arcee-trinity-large-thinking,0,"{""ci95_high"":null,""ci95_low"":null,""estimate"":null,""n"":0}",0,not_scored,0,0,0,not_tested,request_id,observed_transport_degraded,0,"{""ci95_high"":0.6576197724933469,""ci95_low"":0.0,""estimate"":0.0,""n"":2}",2,tool_calling
tools,0,arcee-trinity-large-thinking,1,"{""ci95_high"":1.0,""ci95_low"":0.20654931437723745,""estimate"":1.0,""n"":1}",1,passed,0,0,0,not_tested,request_id,observed_supported,1,"{""ci95_high"":0.9054687942657693,""ci95_low"":0.09453120573423074,""estimate"":0.5,""n"":2}",2,tool_calling
vision,0,arcee-trinity-large-thinking,0,"{""ci95_high"":null,""ci95_low"":null,""estimate"":null,""n"":0}",0,not_scored,0,0,0,not_tested,request_id,observed_transport_degraded,0,"{""ci95_high"":0.7934506856227626,""ci95_low"":0.0,""estimate"":0.0,""n"":1}",1,vision
