coverage_dimension,endpoint_id,explicit_untested_subtest_count,has_explicit_scope_exclusions,observed_attempt_count,planned_cell_or_epoch_count,status
capability_smoke,arcee-trinity-large-thinking,0,False,1,1,completed
low_load_baseline,arcee-trinity-large-thinking,0,False,38,25,inconclusive
input_context,arcee-trinity-large-thinking,0,False,51,51,completed
output_length,arcee-trinity-large-thinking,0,False,33,36,inconclusive
parameter_validation,arcee-trinity-large-thinking,0,False,51,57,inconclusive
parameter_interactions,arcee-trinity-large-thinking,0,False,53,89,inconclusive
aimd_short_short,arcee-trinity-large-thinking,0,False,2006,24,completed
aimd_long_short,arcee-trinity-large-thinking,0,False,159,23,completed
aimd_short_long,arcee-trinity-large-thinking,0,False,57,20,completed
aimd_mixed,arcee-trinity-large-thinking,0,False,179,21,completed
post_overload_recovery,arcee-trinity-large-thinking,1,True,182,8,completed
quality_low_load,arcee-trinity-large-thinking,0,False,33,12,completed
quality_near_saturation,arcee-trinity-large-thinking,0,False,989,28,completed
tool_calling,arcee-trinity-large-thinking,1,True,51,54,inconclusive
structured_output,arcee-trinity-large-thinking,0,False,12,18,inconclusive
vision,arcee-trinity-large-thinking,0,False,1,1,unsupported
capability_smoke,deepseek-v4-flash-0731,0,False,1,1,completed
low_load_baseline,deepseek-v4-flash-0731,0,False,50,29,inconclusive
input_context,deepseek-v4-flash-0731,0,False,56,56,completed
output_length,deepseek-v4-flash-0731,0,False,33,47,inconclusive
parameter_validation,deepseek-v4-flash-0731,0,False,27,27,inconclusive
parameter_interactions,deepseek-v4-flash-0731,0,False,53,56,inconclusive
aimd_short_short,deepseek-v4-flash-0731,0,False,3016,24,completed
aimd_long_short,deepseek-v4-flash-0731,0,False,163,23,completed
aimd_short_long,deepseek-v4-flash-0731,0,False,98,21,completed
aimd_mixed,deepseek-v4-flash-0731,0,False,86,22,completed
post_overload_recovery,deepseek-v4-flash-0731,1,True,726,12,completed
quality_low_load,deepseek-v4-flash-0731,0,False,45,16,completed
quality_near_saturation,deepseek-v4-flash-0731,0,False,1853,32,completed
tool_calling,deepseek-v4-flash-0731,1,True,28,28,completed
structured_output,deepseek-v4-flash-0731,0,False,10,10,completed
vision,deepseek-v4-flash-0731,0,False,1,1,unsupported
capability_smoke,gemma-4-31B-it,0,False,1,1,completed
low_load_baseline,gemma-4-31B-it,0,False,42,37,inconclusive
input_context,gemma-4-31B-it,0,False,68,85,inconclusive
output_length,gemma-4-31B-it,0,False,40,55,inconclusive
parameter_validation,gemma-4-31B-it,0,False,28,28,inconclusive
parameter_interactions,gemma-4-31B-it,0,False,57,71,inconclusive
aimd_short_short,gemma-4-31B-it,0,False,226,18,completed
aimd_long_short,gemma-4-31B-it,0,False,70,24,completed
aimd_short_long,gemma-4-31B-it,0,False,91,20,completed
aimd_mixed,gemma-4-31B-it,0,False,66,22,completed
post_overload_recovery,gemma-4-31B-it,1,True,39,8,completed
quality_low_load,gemma-4-31B-it,0,False,33,12,completed
quality_near_saturation,gemma-4-31B-it,0,False,212,28,completed
tool_calling,gemma-4-31B-it,1,True,36,45,inconclusive
structured_output,gemma-4-31B-it,0,False,11,14,inconclusive
vision,gemma-4-31B-it,0,False,1,1,completed
capability_smoke,glm-5.2,0,False,1,1,completed
low_load_baseline,glm-5.2,0,False,38,25,inconclusive
