api_surface,api_version,context_window,documented_capabilities,endpoint_id,freeze_sha256,input_usd_per_million,max_output_tokens,output_usd_per_million,provider,server_region
chat_completions,v1,128000,"{""modalities"": [""text""], ""prompt_caching"": true, ""reasoning"": true, ""structured_output"": null, ""tools"": null}",arcee-trinity-large-thinking,9df592d44178e85b056a5d308556a650c81d472aee7fe617abcb402e3a8867dc,0.25,32000,0.90,Arcee,
chat_completions,v1,1048576,"{""modalities"": [""text""], ""prompt_caching"": true, ""reasoning"": true, ""structured_output"": null, ""tools"": null}",deepseek-v4-flash-0731,9df592d44178e85b056a5d308556a650c81d472aee7fe617abcb402e3a8867dc,0.080,1048576,0.252,DeepSeek,
chat_completions,v1,256000,"{""modalities"": [""text""], ""prompt_caching"": true, ""reasoning"": null, ""structured_output"": null, ""tools"": null}",gemma-4-31B-it,9df592d44178e85b056a5d308556a650c81d472aee7fe617abcb402e3a8867dc,0.18,8192,0.50,Google,
chat_completions,v1,262144,"{""modalities"": [""text""], ""multilingual"": true, ""prompt_caching"": true, ""reasoning"": true, ""structured_output"": true, ""tools"": true}",glm-5.2,9df592d44178e85b056a5d308556a650c81d472aee7fe617abcb402e3a8867dc,0.70,262144,2.20,Z.ai,
chat_completions,v1,,"{""modalities"": [""text"", ""image""], ""prompt_caching"": true, ""reasoning"": null, ""structured_output"": null, ""tools"": null}",kimi-k3,9df592d44178e85b056a5d308556a650c81d472aee7fe617abcb402e3a8867dc,2.85,,14.25,Moonshot AI,
chat_completions,v1,65536,"{""modalities"": [""text""], ""prompt_caching"": true, ""public_preview"": true, ""reasoning"": null, ""structured_output"": null, ""tools"": null}",minimax-m2.5,9df592d44178e85b056a5d308556a650c81d472aee7fe617abcb402e3a8867dc,0.30,65536,1.20,MiniMax,
chat_completions,v1,262144,"{""modalities"": [""text""], ""multilingual"": true, ""prompt_caching"": true, ""reasoning"": true, ""structured_output"": true, ""tools"": true}",mimo-v2.5-pro,9df592d44178e85b056a5d308556a650c81d472aee7fe617abcb402e3a8867dc,0.40,262144,1.50,Xiaomi,
chat_completions,v1,131072,"{""modalities"": [""text""], ""prompt_caching"": null, ""reasoning"": null, ""structured_output"": null, ""tools"": null}",nemotron-3-ultra-550b,9df592d44178e85b056a5d308556a650c81d472aee7fe617abcb402e3a8867dc,0.90,131072,1.70,NVIDIA,
chat_completions,v1,1000000,"{""modalities"": [""text""], ""prompt_caching"": true, ""public_preview"": true, ""reasoning"": null, ""structured_output"": null, ""tools"": null}",nvidia-nemotron-3-super-120b,9df592d44178e85b056a5d308556a650c81d472aee7fe617abcb402e3a8867dc,0.30,32768,0.65,NVIDIA,
chat_completions,v1,128000,"{""modalities"": [""text""], ""prompt_caching"": true, ""reasoning"": true, ""structured_output"": null, ""tools"": null}",openai-gpt-oss-120b,9df592d44178e85b056a5d308556a650c81d472aee7fe617abcb402e3a8867dc,0.10,4096,0.70,OpenAI,
chat_completions,v1,131072,"{""modalities"": [""text""], ""prompt_caching"": true, ""reasoning"": null, ""structured_output"": null, ""tools"": null}",qwen3.5-397b-a17b,9df592d44178e85b056a5d308556a650c81d472aee7fe617abcb402e3a8867dc,0.55,131072,3.50,Alibaba,
chat_completions,v1,1000000,"{""modalities"": [""text"", ""image"", ""video""], ""prompt_caching"": true, ""reasoning"": null, ""structured_output"": true, ""tools"": true}",qwen3.8-max,9df592d44178e85b056a5d308556a650c81d472aee7fe617abcb402e3a8867dc,2.00,262144,6.00,Alibaba,
