accepted_rate_rps,all_blocks_healthy,block_censor_reasons_json,block_eligible_json,block_healthy_json,capacity_bound_state,censor_reason,completed_blocks,confirmation_all_healthy,confirmation_censor_reasons_json,confirmation_complete,confirmation_eligible_json,confirmation_execution_complete,confirmation_healthy_json,confirmation_stage,confirmation_stage_history_json,confirmations_required,controller_completion_state,coverage_state_counts_json,execution_complete,healthy_lower_bound_rps,highest_observed_healthy_rps,nonmonotonic_overload_observed,overload_observed,planned_blocks,rate_stage,rate_stage_history_json,recovery_censor_reason,recovery_eligible,recovery_healthy,recovery_run,requested_rate_rps,route_id,scientifically_complete,shape,suite,tested_rate_rps,unhealthy_upper_bound_rps
,,[],[],[],right_censored_highest_tested_confirmed_healthy_no_overload,,,True,"[null,null,null]",True,"[true,true,true]",True,"[true,true,true]",0,"[{""execution_complete"":true,""healthy"":true,""rate_rps"":0.5,""scientifically_complete"":true,""stage"":0}]",3,completed_confirmations_healthy,"{""completed"":15,""inconclusive"":1,""not_applicable"":7}",,0.5,0.5,False,False,,,[],,,,False,,deepseek-v4-flash-0731,,long_short,aimd,,
,,[],[],[],,time_guard,,,[],,[],,[],,[],3,campaign_censored_before_start,"{""time_censored"":23}",,,,,,,,[],,,,,,deepseek-v4-flash-0731,,mixed,aimd,,
,,[],[],[],right_censored_highest_tested_confirmed_healthy_no_overload,,,True,"[null,null,null]",True,"[true,true,true]",True,"[true,true,true]",0,"[{""execution_complete"":true,""healthy"":true,""rate_rps"":1.0,""scientifically_complete"":true,""stage"":0}]",3,completed_confirmations_healthy,"{""completed"":15,""not_applicable"":8}",,1.0,1.0,False,False,,,[],,,,False,,deepseek-v4-flash-0731,,short_long,aimd,,
,,[],[],[],,time_guard,,,[],,[],,[],,[],3,campaign_censored_before_start,"{""time_censored"":23}",,,,,,,,[],,,,,,deepseek-v4-flash-0731,,short_short,aimd,,
,,[],[],[],left_censored_no_healthy_at_lowest_tested_rate,,,False,[],True,[],True,[],,[],0,completed_no_healthy_at_lowest_tested_rate,"{""completed"":3,""not_applicable"":20}",,,,False,True,,,[],,,,False,,gemma-4-31B-it,,long_short,aimd,,0.25
,,[],[],[],right_censored_highest_tested_confirmed_healthy_no_overload,,,True,"[null,null,null]",True,"[true,true,true]",True,"[true,true,true]",0,"[{""execution_complete"":true,""healthy"":true,""rate_rps"":2.0,""scientifically_complete"":true,""stage"":0}]",3,completed_confirmations_healthy,"{""completed"":15,""not_applicable"":8}",,2.0,2.0,False,False,,,[],,,,False,,gemma-4-31B-it,,mixed,aimd,,
,,[],[],[],right_censored_highest_tested_confirmed_healthy_no_overload,,,True,"[null,null,null]",True,"[true,true,true]",True,"[true,true,true]",0,"[{""execution_complete"":true,""healthy"":true,""rate_rps"":1.0,""scientifically_complete"":true,""stage"":0}]",3,completed_confirmations_healthy,"{""completed"":14,""inconclusive"":1,""not_applicable"":8}",,1.0,1.0,False,False,,,[],,,,False,,gemma-4-31B-it,,short_long,aimd,,
,,[],[],[],bracketed_confirmed_healthy_lower_unhealthy_upper,,,True,"[null,null,null]",True,"[true,true,true]",True,"[true,true,true]",1,"[{""execution_complete"":true,""healthy"":false,""rate_rps"":2.5,""scientifically_complete"":true,""stage"":0},{""execution_complete"":true,""healthy"":true,""rate_rps"":0.25,""scientifically_complete"":true,""stage"":1}]",3,completed_confirmations_healthy,"{""completed"":21,""not_applicable"":2}",,0.25,2.5,True,True,,,[],,True,True,True,,gemma-4-31B-it,,short_short,aimd,,2.5
,,[],[],[],left_censored_no_healthy_at_lowest_tested_rate,,,False,[],True,[],True,[],,[],0,completed_no_healthy_at_lowest_tested_rate,"{""completed"":3,""not_applicable"":20}",,,,False,True,,,[],,,,False,,glm-5.2,,long_short,aimd,,0.25
,,[],[],[],,time_guard,,,[],,[],,[],,[],3,campaign_censored_before_start,"{""time_censored"":23}",,,,,,,,[],,,,,,glm-5.2,,mixed,aimd,,
