achieved_rpm,achieved_rpm_ci95,candidate_completed_request_count,candidate_concurrency_ceiling_range,candidate_confirmation_epoch_ids,candidate_epoch_duration_seconds_range,candidate_rate_confirmation_epoch_count,candidate_rate_limit_count,candidate_realized_input_tokens_range,candidate_realized_output_tokens_range,candidate_request_row_count,candidate_requested_input_tokens_range,candidate_requested_output_target_range,candidate_scheduled_request_count,candidate_server_error_count,candidate_stream_modes,candidate_successful_request_count,candidate_timeout_count,capacity_claim,capacity_lower_bound_rpm,capacity_lower_bound_rps,capacity_metric_kind,capacity_upper_bound_rpm,capacity_upper_bound_rps,completed_rpm,completed_rpm_ci95,confirmed_healthy_offered_rpm,confirmed_healthy_offered_rps,confirmed_healthy_offered_upper_rpm,confirmed_healthy_offered_upper_rps,effective_input_tpm,effective_input_tpm_ci95,effective_output_tpm,effective_output_tpm_ci95,endpoint_id,epoch_count,healthy_epoch_count,highest_observed_healthy_rpm,highest_observed_healthy_rps,latency_p95_seconds,latency_p95_seconds_ci95,provenance_campaign_sha256s,provenance_capacity_bound_state,provenance_controller_state,provenance_source_id,right_censored,saturation_knee_rps,shape,source_id,tested_max_offered_rps,tested_min_offered_rps,ttft_p50_seconds,ttft_p50_seconds_ci95,valid_epoch_count,workload_input_target_tokens,workload_recipe_identity
,"{""bootstrap_replicates"":0,""ci95_high"":null,""ci95_low"":null,""estimate"":null,""n_units"":0,""qualified"":false,""sampling_unit"":""epoch_id""}",0,,[],,0,0,,,0,,,0,0,[],0,0,unconfirmed_healthy_observation_only,,,healthy_realized_offered_arrival_rate_over_short_confirmation_epochs; not_drain_inclusive_completed_goodput_or_sustained_capacity,,,,"{""bootstrap_replicates"":0,""ci95_high"":null,""ci95_low"":null,""estimate"":null,""n_units"":0,""qualified"":false,""sampling_unit"":""epoch_id""}",,,,,,"{""bootstrap_replicates"":0,""ci95_high"":null,""ci95_low"":null,""estimate"":null,""n_units"":0,""qualified"":false,""sampling_unit"":""epoch_id""}",,"{""bootstrap_replicates"":0,""ci95_high"":null,""ci95_low"":null,""estimate"":null,""n_units"":0,""qualified"":false,""sampling_unit"":""epoch_id""}",deepseek-v4-flash-0731,12,10,144.0,2.4,,"{""bootstrap_replicates"":0,""ci95_high"":null,""ci95_low"":null,""estimate"":null,""n_units"":0,""qualified"":false,""sampling_unit"":""epoch_id""}",,,,,False,,input32k_short,do-direct-aimd-20260823-final,2.4,0.4,,"{""bootstrap_replicates"":0,""ci95_high"":null,""ci95_low"":null,""estimate"":null,""n_units"":0,""qualified"":false,""sampling_unit"":""epoch_id""}",12,,
25.548286539746226,"{""bootstrap_replicates"":2000,""ci95_high"":27.28079392294698,""ci95_low"":23.976760741646114,""estimate"":25.548286539746226,""n_units"":3,""qualified"":true,""sampling_unit"":""epoch_id""}",24,,"[""do-epoch-486cbdc7a5a7d76bb8b6"",""do-epoch-d18b63fd21e6041537cd"",""do-epoch-f3d0bc48a5439f8db47b""]","[17.594795860990416,20.019384818995604]",3,0,"[28.0,2722.0]","[4.0,1024.0]",24,,"[1024.0,1024.0]",24,0,"[""streamed""]",24,0,confirmed_right_censored_lower_bound,96.0,1.6,healthy_realized_offered_arrival_rate_over_short_confirmation_epochs; not_drain_inclusive_completed_goodput_or_sustained_capacity,,,25.548286539746226,"{""bootstrap_replicates"":2000,""ci95_high"":27.28079392294698,""ci95_low"":23.976760741646114,""estimate"":25.548286539746226,""n_units"":3,""qualified"":true,""sampling_unit"":""epoch_id""}",96.0,1.6,,,19046.798287577694,"{""bootstrap_replicates"":2000,""ci95_high"":20351.472266518445,""ci95_low"":17862.686752526355,""estimate"":19046.798287577694,""n_units"":3,""qualified"":true,""sampling_unit"":""epoch_id""}",6969.431853462571,"{""bootstrap_replicates"":2000,""ci95_high"":7444.246641724156,""ci95_low"":6539.661492283977,""estimate"":6969.431853462571,""n_units"":3,""qualified"":true,""sampling_unit"":""epoch_id""}",deepseek-v4-flash-0731,12,11,192.0,3.2,14.218333454619762,"{""bootstrap_replicates"":2000,""ci95_high"":14.816526017345312,""ci95_low"":13.751856181645415,""estimate"":14.218333454619762,""n_units"":3,""qualified"":true,""sampling_unit"":""epoch_id""}",,,,,True,,mixed,do-direct-aimd-20260823-final,3.2,0.2933183431856503,0.4545878863330775,"{""bootstrap_replicates"":2000,""ci95_high"":0.5207698739977786,""ci95_low"":0.4191814314981457,""estimate"":0.4545878863330775,""n_units"":3,""qualified"":true,""sampling_unit"":""epoch_id""}",12,,
14.986128332638886,"{""bootstrap_replicates"":2000,""ci95_high"":15.160661030364466,""ci95_low"":14.695897551771273,""estimate"":14.986128332638886,""n_units"":3,""qualified"":true,""sampling_unit"":""epoch_id""}",24,,"[""do-epoch-0dd75c05a0e60f3a07fc"",""do-epoch-b2dacc15c4e5331e3db6"",""do-epoch-c6838892419f625f51d1""]","[31.660888601007173,32.662176523008384]",3,0,"[57.0,58.0]","[2048.0,2048.0]",24,,"[2048.0,2048.0]",24,0,"[""streamed""]",24,0,confirmed_right_censored_lower_bound,96.0,1.6,healthy_realized_offered_arrival_rate_over_short_confirmation_epochs; not_drain_inclusive_completed_goodput_or_sustained_capacity,,,14.986128332638886,"{""bootstrap_replicates"":2000,""ci95_high"":15.160661030364466,""ci95_low"":14.695897551771273,""estimate"":14.986128332638886,""n_units"":3,""qualified"":true,""sampling_unit"":""epoch_id""}",96.0,1.6,,,854.8216440250736,"{""bootstrap_replicates"":2000,""ci95_high"":864.1576787307746,""ci95_low"":839.5031476449338,""estimate"":854.8216440250736,""n_units"":3,""qualified"":true,""sampling_unit"":""epoch_id""}",30691.59082524444,"{""bootstrap_replicates"":2000,""ci95_high"":31049.033790186426,""ci95_low"":30097.198186027566,""estimate"":30691.59082524444,""n_units"":3,""qualified"":true,""sampling_unit"":""epoch_id""}",deepseek-v4-flash-0731,10,10,96.0,1.6,27.586506306671073,"{""bootstrap_replicates"":2000,""ci95_high"":28.079484293062706,""ci95_low"":27.1837212282524,""estimate"":27.586506306671073,""n_units"":3,""qualified"":true,""sampling_unit"":""epoch_id""}",,,,,True,,short_long,do-direct-aimd-20260823-final,1.6,0.03717475061706562,0.4374058286678822,"{""bootstrap_replicates"":2000,""ci95_high"":0.4695396585011622,""ci95_low"":0.40698938400601037,""estimate"":0.4374058286678822,""n_units"":3,""qualified"":true,""sampling_unit"":""epoch_id""}",10,,
,"{""bootstrap_replicates"":0,""ci95_high"":null,""ci95_low"":null,""estimate"":null,""n_units"":0,""qualified"":false,""sampling_unit"":""epoch_id""}",0,,[],,0,0,,,0,,,0,0,[],0,0,unconfirmed_healthy_observation_only,,,healthy_realized_offered_arrival_rate_over_short_confirmation_epochs; not_drain_inclusive_completed_goodput_or_sustained_capacity,,,,"{""bootstrap_replicates"":0,""ci95_high"":null,""ci95_low"":null,""estimate"":null,""n_units"":0,""qualified"":false,""sampling_unit"":""epoch_id""}",,,,,,"{""bootstrap_replicates"":0,""ci95_high"":null,""ci95_low"":null,""estimate"":null,""n_units"":0,""qualified"":false,""sampling_unit"":""epoch_id""}",,"{""bootstrap_replicates"":0,""ci95_high"":null,""ci95_low"":null,""estimate"":null,""n_units"":0,""qualified"":false,""sampling_unit"":""epoch_id""}",deepseek-v4-flash-0731,14,11,1920.0,32.0,,"{""bootstrap_replicates"":0,""ci95_high"":null,""ci95_low"":null,""estimate"":null,""n_units"":0,""qualified"":false,""sampling_unit"":""epoch_id""}",,,,,False,,short_short,do-direct-aimd-20260823-final,32.0,1.2504164511858404,,"{""bootstrap_replicates"":0,""ci95_high"":null,""ci95_low"":null,""estimate"":null,""n_units"":0,""qualified"":false,""sampling_unit"":""epoch_id""}",14,,
,"{""bootstrap_replicates"":0,""ci95_high"":null,""ci95_low"":null,""estimate"":null,""n_units"":0,""qualified"":false,""sampling_unit"":""epoch_id""}",0,,[],,0,0,,,0,,,0,0,[],0,0,unconfirmed_healthy_observation_only,,,healthy_realized_offered_arrival_rate_over_short_confirmation_epochs; not_drain_inclusive_completed_goodput_or_sustained_capacity,,,,"{""bootstrap_replicates"":0,""ci95_high"":null,""ci95_low"":null,""estimate"":null,""n_units"":0,""qualified"":false,""sampling_unit"":""epoch_id""}",,,,,,"{""bootstrap_replicates"":0,""ci95_high"":null,""ci95_low"":null,""estimate"":null,""n_units"":0,""qualified"":false,""sampling_unit"":""epoch_id""}",,"{""bootstrap_replicates"":0,""ci95_high"":null,""ci95_low"":null,""estimate"":null,""n_units"":0,""qualified"":false,""sampling_unit"":""epoch_id""}",gemma-4-31B-it,14,7,48.0,0.8,,"{""bootstrap_replicates"":0,""ci95_high"":null,""ci95_low"":null,""estimate"":null,""n_units"":0,""qualified"":false,""sampling_unit"":""epoch_id""}",,,,,False,1.6,input32k_short,do-direct-aimd-20260823-final,2.14449658286469,0.08005538026275597,,"{""bootstrap_replicates"":0,""ci95_high"":null,""ci95_low"":null,""estimate"":null,""n_units"":0,""qualified"":false,""sampling_unit"":""epoch_id""}",14,,
,"{""bootstrap_replicates"":0,""ci95_high"":null,""ci95_low"":null,""estimate"":null,""n_units"":0,""qualified"":false,""sampling_unit"":""epoch_id""}",0,,[],,0,0,,,0,,,0,0,[],0,0,unconfirmed_healthy_observation_only,,,healthy_realized_offered_arrival_rate_over_short_confirmation_epochs; not_drain_inclusive_completed_goodput_or_sustained_capacity,,,,"{""bootstrap_replicates"":0,""ci95_high"":null,""ci95_low"":null,""estimate"":null,""n_units"":0,""qualified"":false,""sampling_unit"":""epoch_id""}",,,,,,"{""bootstrap_replicates"":0,""ci95_high"":null,""ci95_low"":null,""estimate"":null,""n_units"":0,""qualified"":false,""sampling_unit"":""epoch_id""}",,"{""bootstrap_replicates"":0,""ci95_high"":null,""ci95_low"":null,""estimate"":null,""n_units"":0,""qualified"":false,""sampling_unit"":""epoch_id""}",gemma-4-31B-it,12,9,96.0,1.6,,"{""bootstrap_replicates"":0,""ci95_high"":null,""ci95_low"":null,""estimate"":null,""n_units"":0,""qualified"":false,""sampling_unit"":""epoch_id""}",,,,,False,0.8,mixed,do-direct-aimd-20260823-final,1.6,0.19184607178810123,,"{""bootstrap_replicates"":0,""ci95_high"":null,""ci95_low"":null,""estimate"":null,""n_units"":0,""qualified"":false,""sampling_unit"":""epoch_id""}",12,,
,"{""bootstrap_replicates"":0,""ci95_high"":null,""ci95_low"":null,""estimate"":null,""n_units"":0,""qualified"":false,""sampling_unit"":""epoch_id""}",0,,[],,0,0,,,0,,,0,0,[],0,0,unconfirmed_healthy_observation_only,,,healthy_realized_offered_arrival_rate_over_short_confirmation_epochs; not_drain_inclusive_completed_goodput_or_sustained_capacity,,,,"{""bootstrap_replicates"":0,""ci95_high"":null,""ci95_low"":null,""estimate"":null,""n_units"":0,""qualified"":false,""sampling_unit"":""epoch_id""}",,,,,,"{""bootstrap_replicates"":0,""ci95_high"":null,""ci95_low"":null,""estimate"":null,""n_units"":0,""qualified"":false,""sampling_unit"":""epoch_id""}",,"{""bootstrap_replicates"":0,""ci95_high"":null,""ci95_low"":null,""estimate"":null,""n_units"":0,""qualified"":false,""sampling_unit"":""epoch_id""}",gemma-4-31B-it,10,9,96.0,1.6,,"{""bootstrap_replicates"":0,""ci95_high"":null,""ci95_low"":null,""estimate"":null,""n_units"":0,""qualified"":false,""sampling_unit"":""epoch_id""}",,,,,False,,short_long,do-direct-aimd-20260823-final,1.6,0.2695418503927088,,"{""bootstrap_replicates"":0,""ci95_high"":null,""ci95_low"":null,""estimate"":null,""n_units"":0,""qualified"":false,""sampling_unit"":""epoch_id""}",10,,
,"{""bootstrap_replicates"":0,""ci95_high"":null,""ci95_low"":null,""estimate"":null,""n_units"":0,""qualified"":false,""sampling_unit"":""epoch_id""}",0,,[],,0,0,,,0,,,0,0,[],0,0,unconfirmed_healthy_observation_only,,,healthy_realized_offered_arrival_rate_over_short_confirmation_epochs; not_drain_inclusive_completed_goodput_or_sustained_capacity,,,,"{""bootstrap_replicates"":0,""ci95_high"":null,""ci95_low"":null,""estimate"":null,""n_units"":0,""qualified"":false,""sampling_unit"":""epoch_id""}",,,,,,"{""bootstrap_replicates"":0,""ci95_high"":null,""ci95_low"":null,""estimate"":null,""n_units"":0,""qualified"":false,""sampling_unit"":""epoch_id""}",,"{""bootstrap_replicates"":0,""ci95_high"":null,""ci95_low"":null,""estimate"":null,""n_units"":0,""qualified"":false,""sampling_unit"":""epoch_id""}",gemma-4-31B-it,9,2,118.24359031311924,1.970726505218654,,"{""bootstrap_replicates"":0,""ci95_high"":null,""ci95_low"":null,""estimate"":null,""n_units"":0,""qualified"":false,""sampling_unit"":""epoch_id""}",,,,,False,2.0,short_short,do-direct-aimd-20260823-final,2.0,0.333804496488556,,"{""bootstrap_replicates"":0,""ci95_high"":null,""ci95_low"":null,""estimate"":null,""n_units"":0,""qualified"":false,""sampling_unit"":""epoch_id""}",9,,
,"{""bootstrap_replicates"":0,""ci95_high"":null,""ci95_low"":null,""estimate"":null,""n_units"":0,""qualified"":false,""sampling_unit"":""epoch_id""}",0,,[],,0,0,,,0,,,0,0,[],0,0,unconfirmed_healthy_observation_only,,,healthy_realized_offered_arrival_rate_over_short_confirmation_epochs; not_drain_inclusive_completed_goodput_or_sustained_capacity,,,,"{""bootstrap_replicates"":0,""ci95_high"":null,""ci95_low"":null,""estimate"":null,""n_units"":0,""qualified"":false,""sampling_unit"":""epoch_id""}",,,,,,"{""bootstrap_replicates"":0,""ci95_high"":null,""ci95_low"":null,""estimate"":null,""n_units"":0,""qualified"":false,""sampling_unit"":""epoch_id""}",,"{""bootstrap_replicates"":0,""ci95_high"":null,""ci95_low"":null,""estimate"":null,""n_units"":0,""qualified"":false,""sampling_unit"":""epoch_id""}",glm-5.2,14,9,96.0,1.6,,"{""bootstrap_replicates"":0,""ci95_high"":null,""ci95_low"":null,""estimate"":null,""n_units"":0,""qualified"":false,""sampling_unit"":""epoch_id""}",,,,,False,2.4,input32k_short,do-direct-aimd-20260823-final,2.4,0.398601236987821,,"{""bootstrap_replicates"":0,""ci95_high"":null,""ci95_low"":null,""estimate"":null,""n_units"":0,""qualified"":false,""sampling_unit"":""epoch_id""}",14,,
,"{""bootstrap_replicates"":0,""ci95_high"":null,""ci95_low"":null,""estimate"":null,""n_units"":0,""qualified"":false,""sampling_unit"":""epoch_id""}",0,,[],,0,0,,,0,,,0,0,[],0,0,unconfirmed_healthy_observation_only,,,healthy_realized_offered_arrival_rate_over_short_confirmation_epochs; not_drain_inclusive_completed_goodput_or_sustained_capacity,,,,"{""bootstrap_replicates"":0,""ci95_high"":null,""ci95_low"":null,""estimate"":null,""n_units"":0,""qualified"":false,""sampling_unit"":""epoch_id""}",,,,,,"{""bootstrap_replicates"":0,""ci95_high"":null,""ci95_low"":null,""estimate"":null,""n_units"":0,""qualified"":false,""sampling_unit"":""epoch_id""}",,"{""bootstrap_replicates"":0,""ci95_high"":null,""ci95_low"":null,""estimate"":null,""n_units"":0,""qualified"":false,""sampling_unit"":""epoch_id""}",glm-5.2,11,7,84.23001235216674,1.403833539202779,,"{""bootstrap_replicates"":0,""ci95_high"":null,""ci95_low"":null,""estimate"":null,""n_units"":0,""qualified"":false,""sampling_unit"":""epoch_id""}",,,,,False,0.4,mixed,do-direct-aimd-20260823-final,1.403833539202779,0.2,,"{""bootstrap_replicates"":0,""ci95_high"":null,""ci95_low"":null,""estimate"":null,""n_units"":0,""qualified"":false,""sampling_unit"":""epoch_id""}",11,,
